Fecha,Comentarios añadidos,Suscriptores,Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Datos duración media de las visualizaciones
2016-06-06,1,0,67,1.7305,1.533333333,0:01:32
2016-06-08,1,0,48,2.6849,3.35,0:03:21
2016-06-11,1,0,26,0.8524,1.966666667,0:01:58
2016-06-17,1,0,55,5.0791,5.533333333,0:05:32
2016-06-27,1,0,31,1.964,3.8,0:03:48
2016-07-05,1,0,40,2.0573,3.083333333,0:03:05
2016-07-08,1,0,47,2.3088,2.933333333,0:02:56
2016-07-09,1,0,44,3.1624,4.3,0:04:18
2016-07-10,1,0,61,2.4107,2.366666667,0:02:22
2016-07-12,1,0,41,1.5197,2.216666667,0:02:13
2016-07-18,1,0,80,3.7438,2.8,0:02:48
2016-07-23,1,1,42,1.4221,2.016666667,0:02:01
2016-07-25,1,1,61,2.0502,2,0:02:00
2016-08-06,1,0,59,1.7819,1.8,0:01:48
2016-08-21,1,-1,57,2.2626,2.366666667,0:02:22
2016-09-03,1,0,76,3.4972,2.75,0:02:45
2016-09-04,1,-1,111,5.1166,2.75,0:02:45
2016-09-17,1,-1,104,5.5718,3.2,0:03:12
2016-09-29,1,1,96,4.3958,2.733333333,0:02:44
2016-10-02,1,0,166,9.2656,3.333333333,0:03:20
2016-10-05,1,0,180,6.224,2.066666667,0:02:04
2016-10-23,1,0,175,5.5492,1.9,0:01:54
2016-10-24,1,-1,119,3.9882,2,0:02:00
2016-10-25,1,0,124,6.7241,3.25,0:03:15
2016-10-29,1,0,207,7.1213,2.05,0:02:03
2016-11-06,1,0,177,10.7213,3.633333333,0:03:38
2016-11-13,1,0,153,6.572,2.566666667,0:02:34
2016-11-19,1,0,151,6.8734,2.716666667,0:02:43
2016-11-23,1,0,129,5.3063,2.466666667,0:02:28
2016-11-24,1,0,102,4.5757,2.683333333,0:02:41
2016-11-25,1,0,225,5.6756,1.5,0:01:30
2016-12-04,1,0,137,6.2519,2.733333333,0:02:44
2016-12-06,1,-1,153,5.5543,2.166666667,0:02:10
2016-12-07,1,0,164,7.048,2.566666667,0:02:34
2016-12-08,1,0,287,15.1442,3.15,0:03:09
2016-12-14,1,1,116,3.4904,1.8,0:01:48
2016-12-15,1,0,122,4.1518,2.033333333,0:02:02
2016-12-25,1,-1,151,9.6842,3.833333333,0:03:50
2017-01-01,1,0,115,6.4092,3.333333333,0:03:20
2017-01-04,1,1,159,9.5799,3.6,0:03:36
